"investor_reference"," consumer_creditor_class","debt_amount"
"HW00334510","PMB",1261
"NL00011374","PMB",6933
"AM00011451","PMB",2297
"RW00011638","PMB",82
"DS00232859","PMB",2557
"JP00012089","PMB",3123
"AY00150073","PMB",2105
"MP00012199","PMB",2585
"MH00203093","PMB",1115
"CA00250976","PMB",7895
"CL00146498","PMB",2108
"RP00267212","PMB",6109
"YP00093984","PMB",2107
"PB00110924","PMB",1972
"SB00074349","PMB",1126
"MW00012749","PMB",4390
"RT00018216","PMB",8773
"JL00012782","PMB",339
"PR00012804","PMB",24876
"sb00068541","PMB",18601
"AC00215787","PMB",3841
"RT00013266","PMB",1090
"MF00040414","PMB",8111
"LR00252780","PMB",1183
"LH00149039","PMB",1362
"DT00287694","PMB",2107
"cH00013618","PMB",1481
"LB00222882","PMB",2108
"TH00080795","PMB",2103
"RP00013772","PMB",1809
"ss00117392","PMB",2375
"GD00336303","PMB",198
"AC00014124","PMB",212
"CP00014234","PMB",13041
"JP00014355","PMB",2169
"GJ00048345","PMB",3935
"AS00014531","PMB",6815
"GM00014542","PMB",4421
"PD00014564","PMB",6181
"MM00323961","PMB",3045
"jm00037653","PMB",2104
"LH00014949","PMB",65
"fm00167563","PMB",2183
"GH00298155","PMB",6116
"JW00015147","PMB",5315
"jm00015400","PMB",3407
"CV00015433","PMB",3815
"DH00149336","PMB",2144
"BJ00015532","PMB",3690
"JW00212256","PMB",1394
"AL00251790","PMB",4526
"DT00015741","PMB",2158
"TD00015807","PMB",973
"pp00324027","PMB",2158
"Do00112783","PMB",2274
"DF00015994","PMB",22029
"PA00016049","PMB",158
"km00016247","PMB",2143
"DS00324093","PMB",1277
"LT00234674","PMB",3677
"NB00022286","PMB",496
"NH00304931","PMB",6254
"JH00016434","PMB",1969
"jg00181071","PMB",4192
"AT00016621","PMB",2572
"WT00247940","PMB",20236
"DJ00035893","PMB",2452
"SJ00115830","PMB",6579
"BS00016874","PMB",366
"LD00339548","PMB",4192
"JM00088616","PMB",6354
"RS00180488","PMB",28847
"PM00017017","PMB",4680
"MW00017039","PMB",2107
"RB00189552","PMB",2179
"DE00017292","PMB",4211
"RW00017369","PMB",1184
"RL00184877","PMB",2107
"JG00188133","PMB",1424
"MB00017655","PMB",5229
"JP00017743","PMB",4689
"AC00017765","PMB",111
"MB00288046","PMB",183
"DP00113212","PMB",2106
"ss00018040","PMB",1280
"GE00018051","PMB",6649
"TR00018073","PMB",19007
"NT00018084","PMB",459
"NM00018106","PMB",707
"PE00018128","PMB",1970
"JB00018139","PMB",2121
"JH00141152","PMB",2104
"WM00119493","PMB",2191
"AB00150755","PMB",746
"TR00018667","PMB",3064
"KF00130020","PMB",428
"SE00165418","PMB",1505
"MH00018865","PMB",1965
"JS00019085","PMB",13770
"MJ00072116","PMB",3946
"RW00019184","PMB",6834
"BM00160919","PMB",2106
"IH00019261","PMB",320
"DL00019272","PMB",4660
"BB00019393","PMB",1182
"SG00180158","PMB",2269
"JB00019514","PMB",2640
"GB00019547","PMB",4192
"GH00179685","PMB",21041
"AR00019866","PMB",9537
"SS00079365","PMB",7543
"HB00019976","PMB",11111
"CS00175703","PMB",2757
"MC00286979","PMB",3155
"JB00109373","PMB",2108
"JW00168278","PMB",2108
"SW00020548","PMB",3583
"PW00020735","PMB",2242
"RA00318615","PMB",2106
"AB00020878","PMB",2035
"RW00014817","PMB",4338
"KS00256509","PMB",20299
"JP00187671","PMB",1889
"TK00061622","PMB",2170
"NA00108944","PMB",8244
"mm00160072","PMB",4193
"NE00086185","PMB",5279
"AP00324401","PMB",8697
"KT00182666","PMB",12459
"PP00022165","PMB",13581
"KH00022242","PMB",2108
"NH00257345","PMB",2105
"DM00317933","PMB",2235
"SF00022396","PMB",1329
"KF00334037","PMB",4209
"JL00022473","PMB",2177
"Pd00022561","PMB",95
"DE00022627","PMB",59
"jw00050182","PMB",6162
"VM00022737","PMB",3932
"CB00324126","PMB",11471
"PH00022880","PMB",10910
"ED00022979","PMB",266
"GM00023001","PMB",68
"GD00158510","PMB",2108
"RW00287826","PMB",2436
"VS00175802","PMB",1970
"rc00241505","PMB",4075
"DR00023397","PMB",14905
"CM00023430","PMB",4613
"KJ00025520","PMB",645
"TG00063657","PMB",431
"CG00182193","PMB",1359
"JW00333113","PMB",1970
"PR00023738","PMB",2182
"LW00319110","PMB",11226
"sb00023969","PMB",1478
"VU00276485","PMB",1108
"JS00024376","PMB",2307
"AW00091443","PMB",2108
"CF00304359","PMB",9179
"MS00024629","PMB",2108
"GW00024651","PMB",2122
"Ld00127072","PMB",2181
"CM00190718","PMB",2137
"MR00082181","PMB",351
"LT00316063","PMB",2108
"RC00025157","PMB",302
"MF00088451","PMB",243
"ts00025355","PMB",24219
"MJ00025366","PMB",13223
"GB00151371","PMB",2107
"KM00325061","PMB",4256
"TW00338118","PMB",4196
"cg00025531","PMB",4590
"SH00304260","PMB",212
"DL00200046","PMB",2106
"EP00123585","PMB",3947
"AW00025652","PMB",1657
"CM00025828","PMB",449
"dc00025839","PMB",7008
"JD00025916","PMB",2857
"GS00026015","PMB",448
"IS00026081","PMB",19598
"DM00026213","PMB",5906
"PB00090288","PMB",2107
"MB00093093","PMB",2108
"AP00333564","PMB",2105
"MR00336831","PMB",62
"JW00324632","PMB",6648
"AS00192775","PMB",1969
"dn00026774","PMB",6509
